block,year,catch_area_code,observed,predicted,loo_ratio,n_donors,abs_error,pct_error
PugetSound,2022,786,16879.149752359004,21371.34256246152,5.601924655953216,8,4492.192810102515,26.61385719073138
PugetSound,2022,802,4095.618184725453,1353.6079961440582,5.186237533118997,8,-2742.0101885813947,-66.94984895827645
PugetSound,2022,804,26961.384408906677,18840.460854304863,4.877157870645836,8,-8120.9235546018135,-30.120573303791744
PugetSound,2022,826,1658.0873264483816,4655.533085660152,5.516034461682644,8,2997.4457592117706,180.77731560932264
PugetSound,2022,830,32923.77099781283,37697.44326880895,5.618098847810574,8,4773.672270996118,14.49916618395031
PugetSound,2022,850,1795.958782634866,252.2444755604257,5.255093240842203,8,-1543.7143070744405,-85.95488504528174
PugetSound,2022,852,2091.7176238111356,1324.9341857640084,5.299736743056034,8,-766.7834380471272,-36.65807608629497
PugetSound,2022,860,5716.1892026058695,6383.199639327044,5.382124485098688,8,667.0104367211743,11.66879564478203
PugetSound,2022,872,876.2256981470755,2311.593290627531,5.426275330111576,8,1435.3675924804556,163.81254230682555
PugetSound,2023,786,18536.484187715403,10451.609034947707,2.0349706064929336,9,-8084.875152767696,-43.61601191948659
PugetSound,2023,794,121.16719545197827,4512.974898682522,2.136825236118618,9,4391.807703230544,3624.584762276793
PugetSound,2023,802,12513.225059962133,5036.602317225465,2.0399361349637366,9,-7476.6227427366675,-59.749766402421706
PugetSound,2023,804,82766.21632659859,147346.07902284112,2.6281763524336674,9,64579.86269624253,78.02683940680335
PugetSound,2023,826,2897.708266862889,4116.294645900704,2.1109203312311307,9,1218.5863790378153,42.05345282591469
PugetSound,2023,830,83351.25723846734,48371.68113816378,1.815413065797102,9,-34979.57610030356,-41.96646488513934
PugetSound,2023,844,3183.1856064839576,834.8022098501391,2.0818010220701724,9,-2348.3833966338184,-73.77462978754059
PugetSound,2023,850,48087.491307891316,54240.41410300236,2.151202272666073,9,6152.922795111044,12.795266768473176
PugetSound,2023,860,5649.527955348427,1259.7328112586488,2.065135756161719,9,-4389.795144089778,-77.70198109974734
PugetSound,2023,872,252.3364503375305,4037.771348464915,2.1318750519878114,9,3785.4348981273843,1500.1538196578051
PugetSound,2024,794,772.9798397191568,20090.657189222617,4.03507876867295,9,19317.67734950346,2499.1178756385243
PugetSound,2024,802,11883.639947082502,6368.240004855558,3.1825287380587497,9,-5515.3999422269435,-46.4117052248878
PugetSound,2024,804,31315.097499187777,20125.2738836122,2.987718806949555,9,-11189.823615575577,-35.73299944496679
PugetSound,2024,826,2619.075307144715,10825.682222367053,3.6536220797728833,9,8206.606915222339,313.3398605544139
