block,catch_area_code,year,creel_trips,creel_harvest,fisheries,crc_harvest,ratio_crc_denom,ratio_creel_denom,crc_over_creel
ColumbiaTrib,533,2023,1562.26385472027,62.6927679409378,McNary Reservoir fall salmon 2023,294,5.31382263510296,24.919363206168573,4.689536124437421
ColumbiaTrib,533,2024,2767.180410962862,135.85087958914121,McNary Reservoir fall salmon 2024,275,10.062474221683134,20.369249130603695,2.024278391363328
ColumbiaTrib,618,2022,14130.886395399188,5116.544138095238,Drano Lake salmon and steelhead 2022,7339,1.9254512052594615,2.7618028915626174,1.434366596265136
ColumbiaTrib,618,2023,16412.007790673746,8690.549255952381,Drano Lake salmon and steelhead 2023,11681,1.4050173607288543,1.8884891285131074,1.3441037678946912
ColumbiaTrib,618,2024,14067.492078576997,6323.848022329059,Drano Lake salmon and steelhead 2024,10544,1.3341703412914452,2.2245145722834705,1.667339247048614
ColumbiaTrib,618,2025,20236.63792829759,11831.285852380952,Drano Lake salmon and steelhead 2025,27,749.5051084554663,1.7104343670493878,0.002282085002161153
ColumbiaTrib,690,2022,7902.836007067821,2907.310291902091,Yakima fall salmon 2022,946,8.353949267513553,2.718263691729112,0.325386664999244
PugetSound,786,2022,16879.149752359004,2435.414481818182,Nisqually salmon 2022,3815,4.424416710972216,6.930709281057454,1.5664684711704084
PugetSound,786,2023,18536.484187715403,3725.7069705128206,Nisqually salmon 2023,5136,3.6091285412218466,4.975293101261791,1.3785303140179759
PugetSound,794,2023,121.16719545197827,93.14,Nooksack fall salmon 2023,2112,0.057370831179913956,1.3009147031563053,22.675542194545844
PugetSound,794,2024,772.9798397191568,335.55449999999996,Nooksack fall salmon 2024,4979,0.1552480095840845,2.303589550189781,14.83812614642331
PugetSound,802,2022,4095.618184725453,941.0903333333332,Puyallup_Carbon salmon 2022,261,15.692023696266103,4.35199261926197,0.27733788219409333
PugetSound,802,2023,12513.225059962133,4621.388666666667,Puyallup_Carbon salmon 2023,2469,5.068134896703983,2.707676406924614,0.5342549995434273
PugetSound,802,2024,11883.639947082502,3896.735833333333,Puyallup Carbon salmon 2024,2001,5.9388505482671174,3.049639610010986,0.5135067106379421
PugetSound,804,2022,26961.384408906677,7036.4871648351655,Puyallup_Carbon salmon 2022,3863,6.979390217164555,3.8316540309554115,0.548995529943597
PugetSound,804,2023,82766.21632659859,94986.06901082251,Puyallup_Carbon salmon 2023,56064,1.476280970437332,0.8713511064150721,0.5902339214986588
PugetSound,804,2024,31315.097499187777,10820.952666666666,Puyallup Carbon salmon 2024,6736,4.648915899523126,2.8939316586840054,0.6224960229934161
PugetSound,826,2022,1658.0873264483816,954.6986333333333,Cascade fall salmon 2022,844,1.96455844365922,1.7367651618596798,0.8840486102438121
PugetSound,826,2023,2897.708266862889,2749.89550563722,Cascade fall salmon 2023,1950,1.4860042394168662,1.0537521374621894,0.709117854115746
PugetSound,826,2024,2619.075307144715,1357.3284345238096,Cascade fall salmon 2024,2963,0.8839268670755029,1.9295811098686393,2.1829646566267558
PugetSound,830,2022,32923.77099781283,8830.644430027072,Skagit fall salmon 2022,6710,4.906672279852882,3.728354284752002,0.7598539442018309
PugetSound,830,2023,83351.25723846734,32951.44349460141,Skagit fall salmon 2023,26645,3.1282138201714145,2.5295176295424864,0.8086140446128066
PugetSound,830,2024,32420.31595919959,12918.226321645725,Skagit fall salmon 2024,9296,3.487555503356238,2.509656910475105,0.7196034322779794
PugetSound,844,2023,3183.1856064839576,337.61583333333334,Snohomish fall salmon 2023,401,7.938118719411365,9.428425127624713,1.1877405038764473
PugetSound,844,2024,2303.07322946025,768.4405714285714,Snohomish fall salmon 2024,241,9.556320454191908,2.9970739639354487,0.31362217061492254
PugetSound,850,2022,1795.958782634866,0,Snohomish fall salmon 2022,48,37.41580797155971,NA,NA
PugetSound,850,2023,48087.491307891316,38262.78964574314,Snohomish fall salmon 2023,25214,1.9071742408142824,1.2567690895805137,0.6589692030676373
PugetSound,850,2024,11637.468283686603,1743.6945349206349,Snohomish fall salmon 2024,1348,8.633136708966322,6.6740292239410435,0.7730711847768422
PugetSound,852,2022,2091.7176238111356,826.8765000000001,Snohomish fall salmon 2022,250,8.366870495244543,2.529661471587517,0.30234261101869503
PugetSound,852,2024,1423.8291754353274,196.77541666666667,Snohomish fall salmon 2024,40,35.59572938588319,7.235808209961834,0.20327742498321902
PugetSound,860,2022,5716.1892026058695,2418.7564253246755,Wallace salmon and gamefish 2022-23,1186,4.819721081455202,2.3632760797063606,0.4903346147559279
PugetSound,860,2023,5649.527955348427,740.2523333333334,Wallace salmon and gamefish 2022-23|Wallace salmon and gamefish 2023-24,610,9.26152123827611,7.631894829576257,0.8240433329715948
PugetSound,860,2024,2727.6753232354604,911.9333000000001,Wallace salmon and gamefish 2024-25,648,4.209375498820155,2.9910908212645158,0.7105782846179648
PugetSound,872,2022,876.2256981470755,0,Stillaguamish salmon and gamefish 2022-23,426,2.0568678360259987,NA,NA
PugetSound,872,2023,252.3364503375305,0,Stillaguamish salmon and gamefish 2023-24,1894,0.13322938243797808,NA,NA
PugetSound,872,2024,1112.942460250824,0,Stillaguamish salmon and gamefish 2024-25,876,1.2704822605603014,NA,NA
WACoast,315,2023,1846.62445144156,526.9031666666667,Upper Chehalis salmon 2023,12154,0.1519355316308672,3.504675181824794,23.06685700313688
WACoast,315,2024,1507.8234947045628,263.2786,Chehalis salmon 2024,14447,0.1043693150622664,5.727102372561093,54.873430654827246
WACoast,329,2022,6376.507797692363,3627.2173035714286,Satsop salmon 2022,1715,3.7180803485086664,1.757961341718879,0.4728142420117421
WACoast,329,2023,11776.442332203043,3299.3089373015873,Satsop salmon 2023,4829,2.438691723380212,3.569366360045891,1.463639838453414
WACoast,329,2024,9492.327374905171,5817.9232883310715,Satsop salmon 2024,3367,2.8192240495708853,1.6315662659120655,0.5787288407107645
WACoast,348,2023,114.42208775342246,0,Hoh fall salmon 2023,353,0.32414189165275487,NA,NA
WACoast,350,2023,729.7981596096621,280.84579365079367,Hoh fall salmon 2023,1352,0.539791538172827,2.598572512419752,4.814029729357776
WACoast,358,2022,10741.574541485992,4022.7572026132407,Humptulips salmon 2022,1856,5.787486283128229,2.6702020530864035,0.4613750983515276
WACoast,358,2023,13255.524479307154,6712.600776308055,Humptulips salmon 2023,2339,5.667175921037689,1.97472260321099,0.3484491448166317
WACoast,358,2024,13706.481434719859,5263.180535771158,Humptulips salmon 2024,1936,7.07979412950406,2.604220269771079,0.36783841763397507
WACoast,398,2022,751.8568963621216,103.72848489326766,Quillayute fall salmon 2022,209,3.5974014180005818,7.24831657510231,2.0148756652047157
WACoast,398,2023,486.93100240453714,64.11616666666667,Quillayute fall salmon 2023,196,2.4843418490027407,7.594512082046968,3.0569513149309713
WACoast,398,2024,888.4042778691356,17.3895,Quillayute fall salmon 2024,134,6.629882670665191,51.08854641416576,7.705799476695707
WACoast,400,2022,244.33943293999482,0,Quillayute fall salmon 2022,25,9.773577317599793,NA,NA
WACoast,400,2023,209.1833561424227,0,Quillayute fall salmon 2023,32,6.536979879450709,NA,NA
WACoast,402,2022,117.1967343337229,0,Quillayute fall salmon 2022,12,9.766394527810242,NA,NA
WACoast,402,2023,154.93362854145667,0,Quillayute fall salmon 2023,130,1.1917971426265899,NA,NA
WACoast,402,2024,369.41150108602915,0,Quillayute fall salmon 2024,40,9.235287527150728,NA,NA
WACoast,404,2022,1525.3535438930205,153.71722701149426,Quillayute fall salmon 2022,282,5.409055120188016,9.923113847083396,1.8345373871395256
WACoast,404,2023,1541.8729079723328,746.23335,Quillayute fall salmon 2023,1388,1.1108594437841015,2.0662074510236415,1.860007998838433
WACoast,404,2024,2137.9769928415058,1235.2827830985916,Quillayute fall salmon 2024,738,2.896987795178192,1.7307591606503168,0.5974340532366167
WACoast,406,2022,1048.9737734347027,1401.5799618226602,Quillayute fall salmon 2022,2791,0.3758415526458985,0.748422353349418,1.9913241313542274
WACoast,406,2023,848.7794386893588,235.08605555555556,Quillayute fall salmon 2023,810,1.0478758502337764,3.610505253846395,3.4455467725884774
WACoast,406,2024,2740.4198323734713,986.7221167002011,Quillayute fall salmon 2024,699,3.920486169346883,2.777296450532589,0.7084061339757922
WACoast,406,2025,3277.5660867371653,846.9395667766777,Quillayute fall salmon 2025,40,81.93915216842913,3.869893691720036,0.047228871538300986
