fishery_name,month,angler_final,n,total,prop
Drano Lake salmon and steelhead 2024,2024-09-01,Bank,64,495,0.1292929292929293
Drano Lake salmon and steelhead 2024,2024-09-01,Boat,431,495,0.8707070707070707
Drano Lake salmon and steelhead 2024,2024-10-01,Bank,65,250,0.26
Drano Lake salmon and steelhead 2024,2024-10-01,Boat,185,250,0.74
Drano Lake salmon and steelhead 2025,2025-07-01,Bank,11,54,0.2037037037037037
Drano Lake salmon and steelhead 2025,2025-07-01,Boat,43,54,0.7962962962962963
Drano Lake salmon and steelhead 2025,2025-08-01,Bank,82,299,0.27424749163879597
Drano Lake salmon and steelhead 2025,2025-08-01,Boat,217,299,0.725752508361204
Drano Lake salmon and steelhead 2025,2025-09-01,Bank,98,406,0.2413793103448276
Drano Lake salmon and steelhead 2025,2025-09-01,Boat,308,406,0.7586206896551724
Drano Lake salmon and steelhead 2025,2025-10-01,Bank,74,224,0.33035714285714285
Drano Lake salmon and steelhead 2025,2025-10-01,Boat,150,224,0.6696428571428571
Drano Lake salmon and steelhead 2026,2026-07-01,Bank,5,20,0.25
Drano Lake salmon and steelhead 2026,2026-07-01,Boat,15,20,0.75
Drano Lake salmon and steelhead 2026,2026-08-01,Bank,11,50,0.22
Drano Lake salmon and steelhead 2026,2026-08-01,Boat,39,50,0.78
Drano Lake spring Chinook 2026,2026-04-01,Bank,53,316,0.16772151898734178
Drano Lake spring Chinook 2026,2026-04-01,Boat,263,316,0.8322784810126582
Drano Lake spring Chinook 2026,2026-05-01,Bank,109,474,0.229957805907173
Drano Lake spring Chinook 2026,2026-05-01,Boat,365,474,0.770042194092827
Drano Lake spring Chinook 2026,2026-06-01,Bank,7,23,0.30434782608695654
Drano Lake spring Chinook 2026,2026-06-01,Boat,16,23,0.6956521739130435
Drano Lake spring Chinook 2026,2026-07-01,Bank,5,20,0.25
Drano Lake spring Chinook 2026,2026-07-01,Boat,15,20,0.75
Hoh fall salmon 2023,2023-09-01,Bank,42,62,0.6774193548387096
Hoh fall salmon 2023,2023-09-01,Boat,20,62,0.3225806451612903
Hoh fall salmon 2025,2025-09-01,Bank,37,63,0.5873015873015873
Hoh fall salmon 2025,2025-09-01,Boat,26,63,0.4126984126984127
Hoh fall salmon 2025,2025-10-01,Bank,52,109,0.47706422018348627
Hoh fall salmon 2025,2025-10-01,Boat,57,109,0.5229357798165137
Hoh fall salmon 2025,2025-11-01,Bank,24,41,0.5853658536585366
Hoh fall salmon 2025,2025-11-01,Boat,17,41,0.4146341463414634
Hoh fall salmon 2025,2025-12-01,Boat,1,1,1
Hoh winter steelhead 2022-23,2022-12-01,Bank,18,18,1
Hoh winter steelhead 2022-23,2023-01-01,Bank,105,109,0.963302752293578
Hoh winter steelhead 2022-23,2023-01-01,Boat,4,109,0.03669724770642202
Hoh winter steelhead 2022-23,2023-02-01,Bank,222,228,0.9736842105263158
Hoh winter steelhead 2022-23,2023-02-01,Boat,6,228,0.02631578947368421
Hoh winter steelhead 2022-23,2023-03-01,Bank,310,311,0.9967845659163987
Hoh winter steelhead 2022-23,2023-03-01,Boat,1,311,0.003215434083601286
Hoh winter steelhead 2023-24,2023-12-01,Bank,43,46,0.9347826086956522
Hoh winter steelhead 2023-24,2023-12-01,Boat,3,46,0.06521739130434782
Hoh winter steelhead 2023-24,2024-01-01,Bank,80,91,0.8791208791208791
Hoh winter steelhead 2023-24,2024-01-01,Boat,11,91,0.12087912087912088
Hoh winter steelhead 2023-24,2024-02-01,Bank,209,300,0.6966666666666667
Hoh winter steelhead 2023-24,2024-02-01,Boat,91,300,0.30333333333333334
Hoh winter steelhead 2023-24,2024-03-01,Bank,212,322,0.6583850931677019
Hoh winter steelhead 2023-24,2024-03-01,Boat,110,322,0.3416149068322981
Hoh winter steelhead 2024-25,2024-12-01,Bank,9,10,0.9
Hoh winter steelhead 2024-25,2024-12-01,Boat,1,10,0.1
Hoh winter steelhead 2024-25,2025-01-01,Bank,90,154,0.5844155844155844
Hoh winter steelhead 2024-25,2025-01-01,Boat,64,154,0.4155844155844156
Hoh winter steelhead 2024-25,2025-02-01,Bank,108,199,0.542713567839196
Hoh winter steelhead 2024-25,2025-02-01,Boat,91,199,0.457286432160804
Hoh winter steelhead 2024-25,2025-03-01,Bank,131,190,0.6894736842105263
Hoh winter steelhead 2024-25,2025-03-01,Boat,59,190,0.3105263157894737
Hoh winter steelhead 2025-26,2025-12-01,Bank,21,22,0.9545454545454546
Hoh winter steelhead 2025-26,2025-12-01,Boat,1,22,0.045454545454545456
Hoh winter steelhead 2025-26,2026-01-01,Bank,79,105,0.7523809523809524
Hoh winter steelhead 2025-26,2026-01-01,Boat,26,105,0.24761904761904763
Hoh winter steelhead 2025-26,2026-02-01,Bank,179,291,0.6151202749140894
Hoh winter steelhead 2025-26,2026-02-01,Boat,112,291,0.3848797250859107
Hoh winter steelhead 2025-26,2026-03-01,Bank,182,353,0.5155807365439093
Hoh winter steelhead 2025-26,2026-03-01,Boat,171,353,0.48441926345609065
Humptulips salmon 2020,2020-09-01,Bank,177,423,0.41843971631205673
Humptulips salmon 2020,2020-09-01,Boat,246,423,0.5815602836879432
Humptulips salmon 2020,2020-10-01,Bank,157,260,0.6038461538461538
Humptulips salmon 2020,2020-10-01,Boat,103,260,0.39615384615384613
Humptulips salmon 2020,2020-11-01,Bank,108,162,0.6666666666666666
Humptulips salmon 2020,2020-11-01,Boat,54,162,0.3333333333333333
Humptulips salmon 2021,2021-09-01,Bank,134,327,0.40978593272171254
Humptulips salmon 2021,2021-09-01,Boat,193,327,0.5902140672782875
Humptulips salmon 2021,2021-10-01,Bank,174,283,0.6148409893992933
Humptulips salmon 2021,2021-10-01,Boat,109,283,0.38515901060070673
Humptulips salmon 2021,2021-11-01,Bank,77,113,0.6814159292035398
Humptulips salmon 2021,2021-11-01,Boat,36,113,0.3185840707964602
Humptulips salmon 2022,2022-09-01,Bank,154,273,0.5641025641025641
Humptulips salmon 2022,2022-09-01,Boat,119,273,0.4358974358974359
Humptulips salmon 2022,2022-10-01,Bank,63,97,0.6494845360824743
