scale,mean_prop,sd_prop,cv,min_prop,max_prop,n_units
Fishery (overall),0.2123227075454773,0.2187539614635259,1.0302899957917648,0.0023896785696597496,1,92
Monthly,0.23074753849144672,0.22409155590681534,0.9711546973452195,4.7131432200194477e-4,1,244
Weekly,0.28305942795141537,0.23371377167571233,0.8256703313758806,7.910206664557279e-4,1,707
