fishery_name,combined_type,hours,total_hours,prop
Drano Lake salmon and steelhead 2024,Unguided-Bank,734.9333333333334,13494.616666666667,0.05446122342613166
Drano Lake salmon and steelhead 2024,Unguided-Boat,9545.35,13494.616666666667,0.7073450277085801
Drano Lake salmon and steelhead 2025,Guided-Bank,0,11828.716666666667,0
Drano Lake salmon and steelhead 2025,Guided-Boat,2834.5333333333333,11828.716666666667,0.23963151821203482
Drano Lake salmon and steelhead 2025,Unguided-Bank,1314.3666666666666,11828.716666666667,0.11111659055716101
Drano Lake salmon and steelhead 2025,Unguided-Boat,7679.816666666667,11828.716666666667,0.6492518912308041
Drano Lake salmon and steelhead 2026,Guided-Bank,0,648.5999999999999,0
Drano Lake salmon and steelhead 2026,Guided-Boat,0,648.5999999999999,0
Drano Lake salmon and steelhead 2026,Unguided-Bank,45.05,648.5999999999999,0.06945729263028061
Drano Lake salmon and steelhead 2026,Unguided-Boat,603.55,648.5999999999999,0.9305427073697194
Drano Lake spring Chinook 2026,Guided-Bank,0,16068.083333333334,0
Drano Lake spring Chinook 2026,Guided-Boat,6382.283333333334,16068.083333333334,0.39720252882266605
Drano Lake spring Chinook 2026,Unguided-Bank,1190.9166666666667,16068.083333333334,0.07411690877879025
Drano Lake spring Chinook 2026,Unguided-Boat,8494.883333333333,16068.083333333334,0.5286805623985437
Hoh fall salmon 2023,Guided-Bank,32.28333333333333,767.6166666666667,0.04205658206135875
Hoh fall salmon 2023,Guided-Boat,178.78333333333333,767.6166666666667,0.23290704995983239
Hoh fall salmon 2023,Unguided-Bank,347.15,767.6166666666667,0.4522439585730725
Hoh fall salmon 2023,Unguided-Boat,209.4,767.6166666666667,0.2727924094057364
Hoh fall salmon 2025,Guided-Bank,0,2227.5,0
Hoh fall salmon 2025,Guided-Boat,892.6833333333333,2227.5,0.40075570520014964
Hoh fall salmon 2025,Unguided-Bank,515.6,2227.5,0.23147025813692482
Hoh fall salmon 2025,Unguided-Boat,819.2166666666667,2227.5,0.3677740366629256
Hoh winter steelhead 2022-23,Guided-Bank,2807.2833333333333,7203.683333333333,0.3897011019825506
Hoh winter steelhead 2022-23,Guided-Boat,102.15,7203.683333333333,0.014180245753908301
Hoh winter steelhead 2022-23,Unguided-Bank,4214.166666666667,7203.683333333333,0.5850016542463231
Hoh winter steelhead 2022-23,Unguided-Boat,80.08333333333334,7203.683333333333,0.011116998017218044
Hoh winter steelhead 2023-24,Guided-Bank,1420.6666666666667,8614.3,0.16491957171989213
Hoh winter steelhead 2023-24,Guided-Boat,1717.75,8614.3,0.1994068003203975
Hoh winter steelhead 2023-24,Unguided-Bank,3940.45,8614.3,0.45743124804104807
Hoh winter steelhead 2023-24,Unguided-Boat,1535.4333333333334,8614.3,0.1782423799186624
Hoh winter steelhead 2024-25,Guided-Bank,928.0833333333334,5551.833333333333,0.16716700189126715
Hoh winter steelhead 2024-25,Guided-Boat,1231.8666666666666,5551.833333333333,0.2218846627240251
Hoh winter steelhead 2024-25,Unguided-Bank,1828.0833333333333,5551.833333333333,0.3292756146618234
Hoh winter steelhead 2024-25,Unguided-Boat,1563.8,5551.833333333333,0.28167272072288435
Hoh winter steelhead 2025-26,Guided-Bank,832.6166666666667,7529,0.11058794882011777
Hoh winter steelhead 2025-26,Guided-Boat,2005.4,7529,0.2663567538849781
Hoh winter steelhead 2025-26,Unguided-Bank,2894.2,7529,0.3844069597556116
Hoh winter steelhead 2025-26,Unguided-Boat,1796.7833333333333,7529,0.23864833753929252
Humptulips salmon 2020,Guided-Bank,0,11068.033333333333,0
Humptulips salmon 2020,Guided-Boat,3095.7666666666664,11068.033333333333,0.2797034101210393
Humptulips salmon 2020,Unguided-Bank,3601.4666666666667,11068.033333333333,0.3253935507964378
Humptulips salmon 2020,Unguided-Boat,4370.8,11068.033333333333,0.394903039082523
Humptulips salmon 2021,Guided-Bank,19.4,7619.566666666667,0.002546076548535131
Humptulips salmon 2021,Guided-Boat,1612.4666666666667,7619.566666666667,0.211621833262609
Humptulips salmon 2021,Unguided-Bank,2081.0333333333333,7619.566666666667,0.2731170189030872
Humptulips salmon 2021,Unguided-Boat,3906.6666666666665,7619.566666666667,0.5127150712857687
Humptulips salmon 2022,Guided-Bank,17.25,6978.75,0.002471789360558839
Humptulips salmon 2022,Guided-Boat,1007.4333333333333,6978.75,0.14435727506119767
Humptulips salmon 2022,Unguided-Bank,2892.9666666666667,6978.75,0.4145393754851036
Humptulips salmon 2022,Unguided-Boat,3061.1,6978.75,0.43863156009313986
Humptulips salmon 2023,Guided-Bank,49.349999999999994,8730.95,0.005652305877367296
Humptulips salmon 2023,Guided-Boat,1264.6833333333334,8730.95,0.14485059854120494
Humptulips salmon 2023,Unguided-Bank,3310.6666666666665,8730.95,0.37918745001021265
Humptulips salmon 2023,Unguided-Boat,4106.25,8730.95,0.470309645571215
Humptulips salmon 2024,Guided-Bank,35.333333333333336,7964.733333333334,0.004436223016464247
Humptulips salmon 2024,Guided-Boat,1224.45,7964.733333333334,0.15373396054272584
Humptulips salmon 2024,Unguided-Bank,3629.7833333333333,7964.733333333334,0.45573193494655606
Humptulips salmon 2024,Unguided-Boat,3075.1666666666665,7964.733333333334,0.3860978814942538
Humptulips salmon 2025,Guided-Bank,21.333333333333336,7359.533333333333,0.0028987345212105847
Humptulips salmon 2025,Guided-Boat,709.7833333333333,7359.533333333333,0.0964440680115587
Humptulips salmon 2025,Unguided-Bank,3875.1,7359.533333333333,0.5265415379598344
Humptulips salmon 2025,Unguided-Boat,2753.3166666666666,7359.533333333333,0.37411565950739634
Humptulips winter steelhead 2024-25,Guided-Bank,2.716666666666667,2483.9666666666667,0.0010936808062373354
Humptulips winter steelhead 2024-25,Guided-Boat,232.81666666666666,2483.9666666666667,0.09372777412471987
Humptulips winter steelhead 2024-25,Unguided-Bank,1599.5833333333333,2483.9666666666667,0.6439632845314618
Humptulips winter steelhead 2024-25,Unguided-Boat,648.85,2483.9666666666667,0.26121526053758104
Humptulips winter steelhead 2025-26,Guided-Bank,0.6333333333333333,3666.8833333333337,1.727170667187848e-4
Humptulips winter steelhead 2025-26,Guided-Boat,296.76666666666665,3666.8833333333337,0.08093158131564952
Humptulips winter steelhead 2025-26,Unguided-Bank,2393.8333333333335,3666.8833333333337,0.6528250603373437
Humptulips winter steelhead 2025-26,Unguided-Boat,975.65,3666.8833333333337,0.26607064128028796
Lower Chehalis salmon 2023,Guided-Bank,0,5887.566666666667,0
Lower Chehalis salmon 2023,Guided-Boat,243.05,5887.566666666667,0.04128191046668969
Lower Chehalis salmon 2023,Unguided-Bank,709.0833333333334,5887.566666666667,0.12043741896765502
Lower Chehalis salmon 2023,Unguided-Boat,4935.433333333333,5887.566666666667,0.8382806705656554
Lower Cowlitz salmon and steelhead 2022-23,Guided-Bank,0,6055.05,0
Lower Cowlitz salmon and steelhead 2022-23,Guided-Boat,3956.4333333333334,6055.05,0.6534105140887909
Lower Cowlitz salmon and steelhead 2022-23,Unguided-Bank,115.78333333333333,6055.05,0.01912177989171573
Lower Cowlitz salmon and steelhead 2022-23,Unguided-Boat,1982.8333333333333,6055.05,0.3274677060194933
Lower Cowlitz salmon and steelhead 2023-24,Guided-Bank,84,17298.15,0.00485601061385177
Lower Cowlitz salmon and steelhead 2023-24,Guided-Boat,6872.066666666667,17298.15,0.39727176990988433
Lower Cowlitz salmon and steelhead 2023-24,Unguided-Bank,7398.783333333333,17298.15,0.42772107614590765
Lower Cowlitz salmon and steelhead 2023-24,Unguided-Boat,2943.3,17298.15,0.17015114333035614
Naselle winter steelhead 2022,Guided-Bank,0,807.9333333333334,0
Naselle winter steelhead 2022,Guided-Boat,26,807.9333333333334,0.0321808730093242
Naselle winter steelhead 2022,Unguided-Bank,765.9666666666667,807.9333333333334,0.9480567703605908
Naselle winter steelhead 2022,Unguided-Boat,15.966666666666667,807.9333333333334,0.01976235663008499
Naselle winter steelhead 2022-23,Guided-Bank,0,1206.2833333333333,0
Naselle winter steelhead 2022-23,Guided-Boat,0,1206.2833333333333,0
Naselle winter steelhead 2022-23,Unguided-Bank,1206.2833333333333,1206.2833333333333,1
Naselle winter steelhead 2022-23,Unguided-Boat,0,1206.2833333333333,0
Naselle winter steelhead 2023-24,Guided-Bank,28.133333333333333,2238.9666666666667,0.0125653203114532
Naselle winter steelhead 2023-24,Guided-Boat,66.95,2238.9666666666667,0.029902187020798287
Naselle winter steelhead 2023-24,Unguided-Bank,1625.5166666666667,2238.9666666666667,0.726011999583141
Naselle winter steelhead 2023-24,Unguided-Boat,518.3666666666667,2238.9666666666667,0.23152049308460748
Nooksack fall salmon 2023,Guided-Bank,0,111.13333333333334,0
Nooksack fall salmon 2023,Guided-Boat,0,111.13333333333334,0
Nooksack fall salmon 2023,Unguided-Bank,75.2,111.13333333333334,0.6766646670665867
Nooksack fall salmon 2023,Unguided-Boat,35.93333333333334,111.13333333333334,0.3233353329334133
Nooksack fall salmon 2024,Guided-Bank,0,148.83333333333331,0
Nooksack fall salmon 2024,Guided-Boat,0,148.83333333333331,0
Nooksack fall salmon 2024,Unguided-Bank,117.06666666666666,148.83333333333331,0.7865621500559911
Nooksack fall salmon 2024,Unguided-Boat,31.766666666666666,148.83333333333331,0.21343784994400897
Nooksack spring Chinook 2022,Guided-Bank,0,678.2333333333333,0
Nooksack spring Chinook 2022,Guided-Boat,0,678.2333333333333,0
Nooksack spring Chinook 2022,Unguided-Bank,639.65,678.2333333333333,0.943112006684032
Nooksack spring Chinook 2022,Unguided-Boat,38.583333333333336,678.2333333333333,0.05688799331596796
Nooksack spring Chinook 2026,Guided-Bank,0,1630.4666666666667,0
Nooksack spring Chinook 2026,Guided-Boat,46.400000000000006,1630.4666666666667,0.028458110152512577
Nooksack spring Chinook 2026,Unguided-Bank,1214.7,1630.4666666666667,0.7450014310831256
Nooksack spring Chinook 2026,Unguided-Boat,369.3666666666667,1630.4666666666667,0.22654045876436193
Nooksack winter gamefish 2021-22,Guided-Bank,0,1420.8833333333332,0
Nooksack winter gamefish 2021-22,Guided-Boat,0,1420.8833333333332,0
Nooksack winter gamefish 2021-22,Unguided-Bank,828.4,1420.8833333333332,0.5830176064185425
Nooksack winter gamefish 2021-22,Unguided-Boat,592.4833333333333,1420.8833333333332,0.4169823935814576
Nooksack winter gamefish 2022-23,Guided-Bank,33.15,1789.9166666666665,0.01852041528935239
Nooksack winter gamefish 2022-23,Guided-Boat,10.7,1789.9166666666665,0.005977931933516458
Nooksack winter gamefish 2022-23,Unguided-Bank,1206,1789.9166666666665,0.6737743842823223
Nooksack winter gamefish 2022-23,Unguided-Boat,540.0666666666666,1789.9166666666665,0.30172726849480885
Post Quillayute winter steelhead 2023-24,Guided-Bank,678.75,4664.75,0.1455061900423388
Post Quillayute winter steelhead 2023-24,Guided-Boat,1671.2166666666667,4664.75,0.3582650016971256
Post Quillayute winter steelhead 2023-24,Unguided-Bank,677.95,4664.75,0.14533469103381746
Post Quillayute winter steelhead 2023-24,Unguided-Boat,1636.8333333333333,4664.75,0.3508941172267181
Pre Quillayute winter steelhead 2023-24,Guided-Bank,200.26666666666668,1430.5333333333333,0.1399944076801193
Pre Quillayute winter steelhead 2023-24,Guided-Boat,533.3166666666666,1430.5333333333333,0.37280967471339355
Pre Quillayute winter steelhead 2023-24,Unguided-Bank,344.6666666666667,1430.5333333333333,0.24093578152670334
Pre Quillayute winter steelhead 2023-24,Unguided-Boat,352.2833333333333,1430.5333333333333,0.24626013607978375
Puyallup Carbon salmon 2024,Guided-Bank,0,3.966666666666667,0
Puyallup Carbon salmon 2024,Guided-Boat,0,3.966666666666667,0
Puyallup Carbon salmon 2024,Unguided-Bank,0,3.966666666666667,0
Puyallup Carbon salmon 2024,Unguided-Boat,3.966666666666667,3.966666666666667,1
Queets winter steelhead 2024-25,Guided-Bank,20.516666666666666,620.9833333333333,0.03303899728924555
Queets winter steelhead 2024-25,Guided-Boat,75.18333333333334,620.9833333333333,0.12107141898601681
Queets winter steelhead 2024-25,Unguided-Bank,237.83333333333334,620.9833333333333,0.38299471268686763
Queets winter steelhead 2024-25,Unguided-Boat,287.45,620.9833333333333,0.46289487103787
Queets winter steelhead 2025-26,Guided-Bank,55.06666666666666,521.0833333333333,0.10567727490804414
Queets winter steelhead 2025-26,Guided-Boat,40.099999999999994,521.0833333333333,0.07695506157044618
Queets winter steelhead 2025-26,Unguided-Bank,269.26666666666665,521.0833333333333,0.5167439628978091
Queets winter steelhead 2025-26,Unguided-Boat,156.65,521.0833333333333,0.3006237006237007
Quillayute fall salmon 2022,Guided-Bank,66.66666666666666,4027.75,0.016551838288539917
Quillayute fall salmon 2022,Guided-Boat,776.5,4027.75,0.19278753646576874
Quillayute fall salmon 2022,Unguided-Bank,1672.3666666666668,4027.75,0.4152111393871682
Quillayute fall salmon 2022,Unguided-Boat,1512.2166666666667,4027.75,0.37544948585852317
Quillayute fall salmon 2023,Guided-Bank,0,3140.9333333333334,0
Quillayute fall salmon 2023,Guided-Boat,605.6333333333333,3140.9333333333334,0.19281954408456084
Quillayute fall salmon 2023,Unguided-Bank,1662.2166666666667,3140.9333333333334,0.5292110625291845
Quillayute fall salmon 2023,Unguided-Boat,873.0833333333334,3140.9333333333334,0.27796939338625465
Quillayute fall salmon 2024,Guided-Bank,67.55,5863.616666666667,0.011520193737084905
Quillayute fall salmon 2024,Guided-Boat,1333.8,5863.616666666667,0.22747053155475716
Quillayute fall salmon 2024,Unguided-Bank,2586.5,5863.616666666667,0.4411100088966707
Quillayute fall salmon 2024,Unguided-Boat,1875.7666666666667,5863.616666666667,0.3198992658114872
Quillayute fall salmon 2025,Guided-Bank,33.266666666666666,5898.916666666667,0.005639453571983556
Quillayute fall salmon 2025,Guided-Boat,1063.75,5898.916666666667,0.1803297215590433
Quillayute fall salmon 2025,Unguided-Bank,2954.8166666666666,5898.916666666667,0.5009083588794553
Quillayute fall salmon 2025,Unguided-Boat,1847.0833333333333,5898.916666666667,0.3131224659895178
Quillayute spring chinook 2025,Guided-Bank,17.9,1587.2166666666667,0.01127760335177932
