scale,mean_prop,sd_prop,cv,min_prop,max_prop,n_units
Fishery (overall),0.5115230676939299,0.27041125243838054,0.52863940947465,3.8599706447610627e-4,0.9958866428872816,123
Monthly,0.5256965050442707,0.2743078420825249,0.5217988695957271,0.00100422788377961,1,338
Weekly,0.5562615937928017,0.2724771055321347,0.48983627230901,0.0034723235388520904,1,1158
