fishery_name,month,combined_type,hours,total_hours,prop
Cascade spring Chinook 2023,2023-06-01,Guided-Boat,0,628.0833333333334,0
Cascade spring Chinook 2023,2023-06-01,Unguided-Bank,628.0833333333334,628.0833333333334,1
Cascade spring Chinook 2023,2023-06-01,Unguided-Boat,0,628.0833333333334,0
Cascade spring Chinook 2023,2023-07-01,Guided-Bank,0,174.41666666666666,0
Cascade spring Chinook 2023,2023-07-01,Guided-Boat,0,174.41666666666666,0
Cascade spring Chinook 2023,2023-07-01,Unguided-Bank,174.41666666666666,174.41666666666666,1
Cascade spring Chinook 2023,2023-07-01,Unguided-Boat,0,174.41666666666666,0
Cascade spring Chinook 2024,2024-05-01,Guided-Bank,0,70.61666666666667,0
Cascade spring Chinook 2024,2024-05-01,Guided-Boat,0,70.61666666666667,0
Cascade spring Chinook 2024,2024-05-01,Unguided-Bank,70.61666666666667,70.61666666666667,1
Cascade spring Chinook 2024,2024-05-01,Unguided-Boat,0,70.61666666666667,0
Cascade spring Chinook 2024,2024-06-01,Guided-Bank,0,977.35,0
Cascade spring Chinook 2024,2024-06-01,Guided-Boat,0,977.35,0
Cascade spring Chinook 2024,2024-06-01,Unguided-Bank,977.35,977.35,1
Cascade spring Chinook 2024,2024-06-01,Unguided-Boat,0,977.35,0
Cascade spring Chinook 2024,2024-07-01,Guided-Bank,0,53.68333333333333,0
Cascade spring Chinook 2024,2024-07-01,Guided-Boat,0,53.68333333333333,0
Cascade spring Chinook 2024,2024-07-01,Unguided-Bank,53.68333333333333,53.68333333333333,1
Cascade spring Chinook 2024,2024-07-01,Unguided-Boat,0,53.68333333333333,0
Cascade winter gamefish 2021-22,2021-12-01,Guided-Bank,0,46.55,0
Cascade winter gamefish 2021-22,2021-12-01,Guided-Boat,0,46.55,0
Cascade winter gamefish 2021-22,2021-12-01,Unguided-Bank,46.55,46.55,1
Cascade winter gamefish 2021-22,2021-12-01,Unguided-Boat,0,46.55,0
Cascade winter gamefish 2021-22,2022-01-01,Guided-Bank,0,17.05,0
Cascade winter gamefish 2021-22,2022-01-01,Guided-Boat,0,17.05,0
Cascade winter gamefish 2021-22,2022-01-01,Unguided-Bank,17.05,17.05,1
Cascade winter gamefish 2021-22,2022-01-01,Unguided-Boat,0,17.05,0
Cascade winter gamefish 2023,2023-01-01,Guided-Bank,0,25.566666666666666,0
Cascade winter gamefish 2023,2023-01-01,Guided-Boat,0,25.566666666666666,0
Cascade winter gamefish 2023,2023-01-01,Unguided-Bank,25.566666666666666,25.566666666666666,1
Cascade winter gamefish 2023,2023-01-01,Unguided-Boat,0,25.566666666666666,0
Chehalis salmon 2022,2022-09-01,Guided-Bank,0,2429.2833333333333,0
Chehalis salmon 2022,2022-09-01,Guided-Boat,224.73333333333332,2429.2833333333333,0.09251013673442784
Chehalis salmon 2022,2022-09-01,Unguided-Bank,148.08333333333334,2429.2833333333333,0.06095762124632094
Chehalis salmon 2022,2022-09-01,Unguided-Boat,2056.4666666666667,2429.2833333333333,0.8465322420192513
Chehalis salmon 2022,2022-10-01,Guided-Bank,0,5768.283333333334,0
Chehalis salmon 2022,2022-10-01,Guided-Boat,1372.8666666666668,5768.283333333334,0.23800264087813533
Chehalis salmon 2022,2022-10-01,Unguided-Bank,204.03333333333333,5768.283333333334,0.035371586578329194
Chehalis salmon 2022,2022-10-01,Unguided-Boat,4191.383333333333,5768.283333333334,0.7266257725435354
Chehalis salmon 2022,2022-11-01,Guided-Bank,0,717.3666666666667,0
Chehalis salmon 2022,2022-11-01,Guided-Boat,178.15,717.3666666666667,0.2483388318386692
Chehalis salmon 2022,2022-11-01,Unguided-Bank,36.516666666666666,717.3666666666667,0.0509037684122485
