fishery_name,angler_final,hours,total_hours,prop
Baker summer sockeye 2022,Bank,29.733333333333334,7228.483333333334,0.004113357112718436
Baker summer sockeye 2022,Boat,7198.75,7228.483333333334,0.9958866428872816
Baker summer sockeye 2023,Bank,104.68333333333334,5972.233333333334,0.0175283394821591
Baker summer sockeye 2023,Boat,5867.55,5972.233333333334,0.9824716605178409
Cascade fall salmon 2021,Bank,532.85,532.85,1
Cascade fall salmon 2022,Bank,1177.1,1177.1,1
Cascade fall salmon 2023,Bank,1767.4833333333333,1767.4833333333333,1
Cascade fall salmon 2024,Bank,1415.1,1415.1,1
Cascade spring Chinook 2021,Bank,1164.0833333333333,1164.0833333333333,1
Cascade spring Chinook 2022,Bank,2897.733333333333,2897.733333333333,1
Cascade spring Chinook 2023,Bank,813.3333333333334,813.3333333333334,1
Cascade spring Chinook 2024,Bank,1109.9166666666667,1109.9166666666667,1
Cascade winter gamefish 2021-22,Bank,63.6,63.6,1
Cascade winter gamefish 2023,Bank,25.566666666666666,25.566666666666666,1
Chehalis salmon 2022,Bank,464.1166666666667,9040.25,0.051338919462035525
Chehalis salmon 2022,Boat,8576.133333333333,9040.25,0.9486610805379645
Chehalis salmon 2024,Bank,1553.6166666666666,11684.916666666666,0.132959156747659
Chehalis salmon 2024,Boat,10131.3,11684.916666666666,0.867040843252341
Chehalis salmon 2025,Bank,1131.7,11990.550000000001,0.09438265967782962
Chehalis salmon 2025,Boat,10858.85,11990.550000000001,0.9056173403221703
Chehalis winter steelhead 2024-25,Bank,647.7333333333333,3121.8,0.2074871334913618
Chehalis winter steelhead 2024-25,Boat,2474.0666666666666,3121.8,0.7925128665086381
Chehalis winter steelhead 2025-26,Bank,50.56666666666666,535.9666666666667,0.09434666334971079
Chehalis winter steelhead 2025-26,Boat,485.4,535.9666666666667,0.9056533366502891
Drano Lake salmon and steelhead 2022,Bank,1443.0166666666667,10704.583333333334,0.1348036277295551
Drano Lake salmon and steelhead 2022,Boat,9261.566666666668,10704.583333333334,0.8651963722704449
Drano Lake salmon and steelhead 2023,Bank,461.1,13709.583333333334,0.03363340728808923
Drano Lake salmon and steelhead 2023,Boat,13248.483333333334,13709.583333333334,0.9663665927119107
Drano Lake salmon and steelhead 2024,Bank,792.3666666666667,13588.466666666667,0.05831170551497103
Drano Lake salmon and steelhead 2024,Boat,12796.1,13588.466666666667,0.941688294485029
Drano Lake salmon and steelhead 2025,Bank,1471.8833333333334,11990.733333333334,0.12275173606284855
Drano Lake salmon and steelhead 2025,Boat,10518.85,11990.733333333334,0.8772482639371515
Drano Lake salmon and steelhead 2026,Bank,45.05,648.5999999999999,0.06945729263028061
Drano Lake salmon and steelhead 2026,Boat,603.55,648.5999999999999,0.9305427073697194
Drano Lake spring Chinook 2026,Bank,1190.9166666666667,16068.083333333332,0.07411690877879026
Drano Lake spring Chinook 2026,Boat,14877.166666666666,16068.083333333332,0.9258830912212098
Hoh fall salmon 2023,Bank,379.43333333333334,767.6166666666667,0.49430054063443124
Hoh fall salmon 2023,Boat,388.18333333333334,767.6166666666667,0.5056994593655687
Hoh fall salmon 2025,Bank,515.6,2227.5,0.23147025813692482
Hoh fall salmon 2025,Boat,1711.9,2227.5,0.7685297418630752
Hoh winter steelhead 2022-23,Bank,7021.45,7203.683333333333,0.9747027562288736
Hoh winter steelhead 2022-23,Boat,182.23333333333335,7203.683333333333,0.025297243771126347
Hoh winter steelhead 2023-24,Bank,5387.116666666667,8640.3,0.6234872245948251
Hoh winter steelhead 2023-24,Boat,3253.1833333333334,8640.3,0.376512775405175
Hoh winter steelhead 2024-25,Bank,2756.1666666666665,5551.833333333333,0.4964426165530906
Hoh winter steelhead 2024-25,Boat,2795.6666666666665,5551.833333333333,0.5035573834469095
Hoh winter steelhead 2025-26,Bank,3726.8166666666666,7529,0.4949949085757294
Hoh winter steelhead 2025-26,Boat,3802.1833333333334,7529,0.5050050914242706
Humptulips salmon 2020,Bank,3601.4666666666667,11068.033333333333,0.3253935507964378
Humptulips salmon 2020,Boat,7466.566666666667,11068.033333333333,0.6746064492035623
Humptulips salmon 2021,Bank,2100.4333333333334,7619.566666666667,0.2756630954516224
Humptulips salmon 2021,Boat,5519.133333333333,7619.566666666667,0.7243369045483776
Humptulips salmon 2022,Bank,2963.4,7043.666666666667,0.4207183758459136
Humptulips salmon 2022,Boat,4080.266666666667,7043.666666666667,0.5792816241540865
Humptulips salmon 2023,Bank,3370.7166666666667,8759.65,0.3848003820548386
Humptulips salmon 2023,Boat,5388.933333333333,8759.65,0.6151996179451614
