block,year,catch_area_code,observed,predicted,loo_ratio,n_donors,abs_error,pct_error
PugetSound,2022,786,16879.149752359004,24739.632197880994,6.484831506652947,8,7860.48244552199,46.56918482770982
PugetSound,2022,802,4095.618184725453,1517.3651759025272,5.81365967778746,8,-2578.253008822926,-62.9514982240894
PugetSound,2022,804,26961.384408906677,20650.408388880638,5.57365948417831,8,-6310.976020026039,-23.40746277828824
PugetSound,2022,826,1658.0873264483816,2765.128954392444,6.05061040348456,8,1107.0416279440624,66.76618355894091
PugetSound,2022,830,32923.77099781283,33537.13778364347,6.018868948966883,8,613.3667858306362,1.8629906819342867
PugetSound,2022,850,1795.958782634866,211.59226364718637,5.877562879088511,8,-1584.3665189876797,-88.21842317913568
PugetSound,2022,852,2091.7176238111356,558.6820101950974,5.880863265211551,8,-1533.035613616038,-73.29075378840228
PugetSound,2022,860,5716.1892026058695,7205.147111503213,6.0751661985693195,8,1488.9579088973433,26.04808651572562
PugetSound,2022,872,876.2256981470755,2594.2962447929926,6.089897288246462,8,1718.0705466459171,196.076256411911
PugetSound,2023,786,18536.484187715403,10816.207549468954,2.105959413837413,9,-7720.276638246449,-41.64908814457313
PugetSound,2023,794,121.16719545197827,993.3713504420487,2.178445943951861,9,872.2041549900704,719.83522581056
PugetSound,2023,802,12513.225059962133,5208.264234748891,2.1094630355402555,9,-7304.960825213242,-58.377922479685246
PugetSound,2023,804,82766.21632659859,156676.22850046193,2.7945959706846093,9,73910.01217386335,89.29973539229057
PugetSound,2023,826,2897.708266862889,3358.157324764548,2.1749723605988005,9,460.44905790165876,15.89011092549179
PugetSound,2023,830,83351.25723846734,48099.91047118081,1.8737061458915043,9,-35251.34676728653,-42.29251955544316
PugetSound,2023,844,3183.1856064839576,343.5412213161261,2.1471326332257883,9,-2839.6443851678314,-89.20762833884541
PugetSound,2023,850,48087.491307891316,55750.18275322718,2.2357307809282636,9,7662.691445335862,15.934895410271464
PugetSound,2023,860,5649.527955348427,1164.756834009772,2.133254274743172,9,-4484.771121338655,-79.38311230220407
PugetSound,2023,872,252.3364503375305,3422.017504542798,2.1978275559041736,9,3169.6810542052676,1256.1328535633422
PugetSound,2024,794,772.9798397191568,1529.1560054406057,4.271385490057558,9,756.1761657214489,97.82611743097814
PugetSound,2024,802,11883.639947082502,8097.743212454411,4.075361455689185,9,-3785.8967346280906,-31.858056550741836
PugetSound,2024,804,31315.097499187777,27419.8437968874,4.070641893837203,9,-3895.253702300379,-12.438900126053928
PugetSound,2024,826,2619.075307144715,13107.821498651296,4.691417859216641,9,10488.74619150658,400.4751662884137
PugetSound,2024,830,32420.31595919959,36833.23563367384,4.429201014150293,9,4412.919674474248,13.611587499726502
PugetSound,2024,844,2303.07322946025,616.5628945685362,4.165965503841461,9,-1686.5103348917137,-73.22868909760918
PugetSound,2024,850,11637.468283686603,5293.207060306619,3.9649491088439093,9,-6344.261223379985,-54.515819667352964
PugetSound,2024,852,1423.8291754353274,54.33541247243153,4.179647113263964,9,-1369.493762962896,-96.18385313281568
PugetSound,2024,860,2727.6753232354604,2629.636801615279,4.234519809364379,9,-98.0385216201812,-3.5942152200098283
PugetSound,2024,872,1112.942460250824,3756.5009139708914,4.352839993013779,9,2643.5584537200675,237.52876254934944
WACoast,2022,329,6376.507797692363,6041.163768796124,3.5225444716012384,5,-335.34402889623925,-5.259054635165649
WACoast,2022,358,10741.574541485992,4662.512959667042,2.528477743854144,5,-6079.06158181895,-56.59376619638457
WACoast,2022,398,751.8568963621216,748.2098329492242,3.579951353824039,5,-3.6470634128974098,-0.4850741451656316
WACoast,2022,400,244.33943293999482,88.84176322296281,3.5536705289185124,5,-155.497669717032,-63.6400223435156
WACoast,2022,404,1525.3535438930205,939.3751197017242,3.479167110006386,5,-585.9784241912963,-38.41590866178847
WACoast,2022,406,1048.9737734347027,8289.925976918666,4.833776079835957,5,7240.952203483964,690.2891556358538
WACoast,2023,315,1846.62445144156,20934.906218089225,2.705117743647658,9,19088.281766647666,1033.6850977872882
WACoast,2023,329,11776.442332203043,6753.5387139148625,1.4020217384087321,9,-5022.903618288181,-42.652131064684085
WACoast,2023,348,114.42208775342246,374.6359567803271,1.6875493548663383,9,260.2138690269046,227.41576747634673
WACoast,2023,350,729.7981596096621,2124.894558457495,1.7488844102530823,9,1395.096398847833,191.16195080486509
WACoast,2023,358,13255.524479307154,2523.7630650114847,1.0934848635231735,9,-10731.76141429567,-80.96066987804772
WACoast,2023,398,486.93100240453714,326.3017340342733,1.664804765480986,9,-160.62926837026384,-32.98809637855319
WACoast,2023,400,209.1833561424227,53.28192905709062,1.665060283034082,9,-155.90142708533207,-74.52860015267487
WACoast,2023,402,154.93362854145667,217.99625363403115,1.6768942587233164,9,63.06262509257448,40.702993718178085
WACoast,2023,404,1541.8729079723328,2356.4217278803962,1.7175085480177816,9,814.5488199080635,52.828531826222324
WACoast,2023,406,848.7794386893588,788.3437244377616,1.670219755164749,9,-60.43571425159723,-7.120308468466075
WACoast,2024,315,1507.8234947045628,64358.52674548994,4.49776551439583,5,62850.70325078537,4168.306401347069
WACoast,2024,329,9492.327374905171,4025.325644699782,1.2051873187723898,5,-5467.001730205389,-57.59390204617763
WACoast,2024,358,13706.481434719859,1657.8698937093216,0.8879860169841036,5,-12048.611541010538,-87.9044822582273
WACoast,2024,398,888.4042778691356,192.3062771457178,1.4351214712367,5,-696.0980007234178,-78.35374255435035
WACoast,2024,404,2137.9769928415058,945.5030528294923,1.411198586312675,5,-1192.4739400120134,-55.77580787841597
WACoast,2024,406,2740.4198323734713,585.5050602210757,1.3648136601889878,5,-2154.9147721523955,-78.63447588196837
