scale,mean_prop,sd_prop,cv,min_prop,max_prop,n_units
Fishery (overall),0.1389057635247518,0.20225682020386787,1.4560721965134833,0.0018726591760299626,1,92
Monthly,0.1468238908899902,0.20039926443125924,1.3648954759100556,0.0017211703958691911,1,245
Weekly,0.18308530800925485,0.20769014341671108,1.1343900047196167,0.003246753246753247,1,708
