fishery_name,month,angler_final,hours,total_hours,prop
Baker summer sockeye 2022,2022-07-01,Bank,11.166666666666668,4842.1,0.002306161926987602
Baker summer sockeye 2022,2022-07-01,Boat,4830.933333333333,4842.1,0.9976938380730124
Baker summer sockeye 2022,2022-08-01,Bank,18.566666666666666,2386.383333333333,0.0077802532423541905
Baker summer sockeye 2022,2022-08-01,Boat,2367.8166666666666,2386.383333333333,0.9922197467576458
Baker summer sockeye 2023,2023-07-01,Bank,87.51666666666667,4310.766666666666,0.020301879789364614
Baker summer sockeye 2023,2023-07-01,Boat,4223.25,4310.766666666666,0.9796981202106354
Baker summer sockeye 2023,2023-08-01,Bank,17.166666666666668,1661.4666666666667,0.010332236578123747
Baker summer sockeye 2023,2023-08-01,Boat,1644.3,1661.4666666666667,0.9896677634218762
Cascade fall salmon 2021,2021-09-01,Bank,47.583333333333336,47.583333333333336,1
Cascade fall salmon 2021,2021-10-01,Bank,366.6666666666667,366.6666666666667,1
Cascade fall salmon 2021,2021-11-01,Bank,118.6,118.6,1
Cascade fall salmon 2022,2022-09-01,Bank,138.83333333333334,138.83333333333334,1
Cascade fall salmon 2022,2022-10-01,Bank,751.1166666666667,751.1166666666667,1
Cascade fall salmon 2022,2022-11-01,Bank,287.15,287.15,1
Cascade fall salmon 2023,2023-09-01,Bank,379.3666666666667,379.3666666666667,1
Cascade fall salmon 2023,2023-10-01,Bank,1158.3666666666666,1158.3666666666666,1
Cascade fall salmon 2023,2023-11-01,Bank,229.75,229.75,1
Cascade fall salmon 2024,2024-09-01,Bank,201.2,201.2,1
Cascade fall salmon 2024,2024-10-01,Bank,980.3333333333334,980.3333333333334,1
Cascade fall salmon 2024,2024-11-01,Bank,233.56666666666666,233.56666666666666,1
Cascade spring Chinook 2021,2021-06-01,Bank,920.75,920.75,1
Cascade spring Chinook 2021,2021-07-01,Bank,243.33333333333334,243.33333333333334,1
Cascade spring Chinook 2022,2022-06-01,Bank,2300.516666666667,2300.516666666667,1
Cascade spring Chinook 2022,2022-07-01,Bank,597.2166666666667,597.2166666666667,1
Cascade spring Chinook 2023,2023-06-01,Bank,628.0833333333334,628.0833333333334,1
Cascade spring Chinook 2023,2023-07-01,Bank,185.25,185.25,1
Cascade spring Chinook 2024,2024-05-01,Bank,70.61666666666667,70.61666666666667,1
Cascade spring Chinook 2024,2024-06-01,Bank,985.2833333333333,985.2833333333333,1
Cascade spring Chinook 2024,2024-07-01,Bank,54.016666666666666,54.016666666666666,1
Cascade winter gamefish 2021-22,2021-12-01,Bank,46.55,46.55,1
Cascade winter gamefish 2021-22,2022-01-01,Bank,17.05,17.05,1
Cascade winter gamefish 2023,2023-01-01,Bank,25.566666666666666,25.566666666666666,1
Chehalis salmon 2022,2022-09-01,Bank,148.08333333333334,2440.7166666666667,0.060672070361847276
Chehalis salmon 2022,2022-09-01,Boat,2292.633333333333,2440.7166666666667,0.9393279296381527
Chehalis salmon 2022,2022-10-01,Bank,204.03333333333333,5806.683333333333,0.03513767182068938
Chehalis salmon 2022,2022-10-01,Boat,5602.65,5806.683333333333,0.9648623281793105
Chehalis salmon 2022,2022-11-01,Bank,36.516666666666666,717.3666666666667,0.0509037684122485
Chehalis salmon 2022,2022-11-01,Boat,680.85,717.3666666666667,0.9490962315877515
Chehalis salmon 2022,2022-12-01,Bank,75.48333333333333,75.48333333333333,1
Chehalis salmon 2024,2024-09-01,Bank,389.93333333333334,4160.05,0.09373284776224644
