region,stream_code,n_years,years_present,mean_harvest,usable,fail_reason
Columbia - Lower,615,6,2019|2020|2021|2022|2023|2024,6193.166666666667,TRUE,NA
Columbia - Lower,625,3,2019|2022|2023,8,TRUE,NA
Columbia - Lower,635,1,2024,119,FALSE,only 1 of 6 history year(s) present (2024); need 3
Columbia - Lower,638,1,2024,16,FALSE,only 1 of 6 history year(s) present (2024); need 3
Columbia - Lower,661,1,2024,40,FALSE,only 1 of 6 history year(s) present (2024); need 3
Columbia - Lower,665,3,2019|2023|2024,5.666666666666667,TRUE,NA
Columbia - Lower,667,6,2019|2020|2021|2022|2023|2024,353.3333333333333,TRUE,NA
Columbia - Lower,668,6,2019|2020|2021|2022|2023|2024,49.666666666666664,TRUE,NA
Columbia - Middle,508,6,2019|2020|2021|2022|2023|2024,108.5,TRUE,NA
Columbia - Middle,527,6,2019|2020|2021|2022|2023|2024,7643.666666666667,TRUE,NA
Columbia - Middle,529,6,2019|2020|2021|2022|2023|2024,2102.1666666666665,TRUE,NA
Columbia - Middle,531,6,2019|2020|2021|2022|2023|2024,771.6666666666666,TRUE,NA
Columbia - Middle,607,6,2019|2020|2021|2022|2023|2024,6885.5,TRUE,NA
Columbia - Middle,608,6,2019|2020|2021|2022|2023|2024,1121,TRUE,NA
Columbia - Middle,618,6,2019|2020|2021|2022|2023|2024,7269.833333333333,TRUE,NA
Columbia - Middle,677,6,2019|2020|2021|2022|2023|2024,156.33333333333334,TRUE,NA
Columbia - Middle,680,6,2019|2020|2021|2022|2023|2024,3154.3333333333335,TRUE,NA
Columbia - Snake,592,3,2019|2020|2021,12,TRUE,NA
Columbia - Snake,640,5,2019|2021|2022|2023|2024,493,TRUE,NA
Columbia - Snake,642,5,2019|2020|2021|2022|2024,22.8,TRUE,NA
Columbia - Snake,644,6,2019|2020|2021|2022|2023|2024,1093.8333333333333,TRUE,NA
Columbia - Snake,646,6,2019|2020|2021|2022|2023|2024,27.5,TRUE,NA
Columbia - Snake,648,6,2019|2020|2021|2022|2023|2024,1369.6666666666667,TRUE,NA
Columbia - Snake,650,6,2019|2020|2021|2022|2023|2024,356.6666666666667,TRUE,NA
Columbia - Upper,533,6,2019|2020|2021|2022|2023|2024,278,TRUE,NA
Columbia - Upper,534,6,2019|2020|2021|2022|2023|2024,1134.8333333333333,TRUE,NA
Columbia - Upper,535,6,2019|2020|2021|2022|2023|2024,10098.5,TRUE,NA
Columbia - Upper,536,6,2019|2020|2021|2022|2023|2024,9370.833333333334,TRUE,NA
Columbia - Upper,537,6,2019|2020|2021|2022|2023|2024,3410,TRUE,NA
Columbia - Upper,539,6,2019|2020|2021|2022|2023|2024,663,TRUE,NA
Columbia - Upper,541,6,2019|2020|2021|2022|2023|2024,2494.5,TRUE,NA
Columbia - Upper,543,6,2019|2020|2021|2022|2023|2024,7069.333333333333,TRUE,NA
Columbia - Upper,545,6,2019|2020|2021|2022|2023|2024,41117,TRUE,NA
Columbia - Upper,547,6,2019|2020|2021|2022|2023|2024,70.33333333333333,TRUE,NA
Columbia - Upper,549,5,2019|2020|2021|2022|2024,30.8,TRUE,NA
Columbia - Upper,586,6,2019|2020|2021|2022|2023|2024,278.8333333333333,TRUE,NA
Columbia - Upper,621,4,2019|2022|2023|2024,19.25,TRUE,NA
Columbia - Upper,627,6,2019|2020|2021|2022|2023|2024,156.5,TRUE,NA
Columbia - Upper,629,4,2019|2021|2022|2023,13.5,TRUE,NA
Columbia - Upper,670,5,2020|2021|2022|2023|2024,20060.6,TRUE,NA
Columbia - Upper,672,6,2019|2020|2021|2022|2023|2024,1146,TRUE,NA
Columbia - Upper,674,6,2019|2020|2021|2022|2023|2024,147.66666666666666,TRUE,NA
