fishery_name,guided_status,hours,total_hours,prop
Baker summer sockeye 2022,Guided,244.73333333333335,7199.133333333333,0.03399483271134489
Baker summer sockeye 2022,Unguided,6954.4,7199.133333333333,0.966005167288655
Baker summer sockeye 2023,Guided,206.98333333333335,5939.633333333333,0.03484783011296994
Baker summer sockeye 2023,Unguided,5732.65,5939.633333333333,0.96515216988703
Cascade fall salmon 2021,Unguided,495.78333333333336,495.78333333333336,1
Cascade fall salmon 2022,Unguided,1169.7333333333333,1169.7333333333333,1
Cascade fall salmon 2023,Guided,5.683333333333334,1763.75,0.0032223009685802034
Cascade fall salmon 2023,Unguided,1758.0666666666666,1763.75,0.9967776990314198
Cascade fall salmon 2024,Unguided,1366.35,1366.35,1
Cascade spring Chinook 2022,Unguided,2898.2,2898.2,1
Cascade spring Chinook 2023,Unguided,802.5,802.5,1
Cascade spring Chinook 2024,Unguided,1101.65,1101.65,1
Cascade winter gamefish 2021-22,Unguided,63.6,63.6,1
Cascade winter gamefish 2023,Unguided,25.566666666666666,25.566666666666666,1
Chehalis salmon 2022,Guided,1775.75,8990.416666666668,0.19751587338369558
Chehalis salmon 2022,Unguided,7214.666666666667,8990.416666666668,0.8024841266163043
Chehalis salmon 2024,Guided,1161.7333333333333,11508.483333333334,0.10094582402256885
Chehalis salmon 2024,Unguided,10346.75,11508.483333333334,0.8990541759774311
Chehalis salmon 2025,Guided,1674.75,11900.683333333332,0.14072721314322287
Chehalis salmon 2025,Unguided,10225.933333333332,11900.683333333332,0.8592727868567771
Chehalis winter steelhead 2024-25,Guided,257.1333333333333,2934.5499999999997,0.08762274738318766
Chehalis winter steelhead 2024-25,Unguided,2677.4166666666665,2934.5499999999997,0.9123772526168124
Chehalis winter steelhead 2025-26,Guided,70.15,535.9666666666667,0.1308850052863984
Chehalis winter steelhead 2025-26,Unguided,465.81666666666666,535.9666666666667,0.8691149947136015
Drano Lake salmon and steelhead 2023,Guided,2952.766666666667,13376.633333333333,0.2207406447561544
Drano Lake salmon and steelhead 2023,Unguided,10423.866666666667,13376.633333333333,0.7792593552438456
Drano Lake salmon and steelhead 2024,Guided,3214.3333333333335,13494.616666666667,0.23819374886528827
Drano Lake salmon and steelhead 2024,Unguided,10280.283333333333,13494.616666666667,0.7618062511347117
Drano Lake salmon and steelhead 2025,Guided,2834.5333333333333,11828.716666666665,0.23963151821203485
Drano Lake salmon and steelhead 2025,Unguided,8994.183333333332,11828.716666666665,0.7603684817879651
Drano Lake salmon and steelhead 2026,Unguided,648.6,648.6,1
Drano Lake spring Chinook 2026,Guided,6382.283333333334,16068.083333333332,0.3972025288226661
Drano Lake spring Chinook 2026,Unguided,9685.8,16068.083333333332,0.602797471177334
Hoh fall salmon 2023,Guided,211.06666666666666,767.6166666666666,0.2749636320211912
Hoh fall salmon 2023,Unguided,556.55,767.6166666666666,0.7250363679788089
Hoh fall salmon 2025,Guided,892.6833333333333,2227.5,0.40075570520014964
Hoh fall salmon 2025,Unguided,1334.8166666666666,2227.5,0.5992442947998503
Hoh winter steelhead 2022-23,Guided,2909.4333333333334,7203.683333333333,0.4038813477364589
