scale,mean_prop,sd_prop,cv,min_prop,max_prop,n_units
Fishery (overall),0.3444525388336029,0.23885868731745474,0.6934444092828762,4.6490004649000463e-4,0.9929577464788732,123
Monthly,0.36087893247150465,0.25244277288000955,0.6995220561952384,0.0011441647597254005,1,338
Weekly,0.38824049367488483,0.2585873853470203,0.666049496535936,0.002785515320334262,1,1159
