fishery_name,month,guided_status,hours,total_hours,prop
Chehalis winter steelhead 2025-26,2025-12-01,Unguided,157.03333333333333,170.98333333333332,0.9184131006920753
Chehalis winter steelhead 2025-26,2026-01-01,Guided,56.2,265.15,0.21195549688855367
Chehalis winter steelhead 2025-26,2026-01-01,Unguided,208.95,265.15,0.7880445031114464
Chehalis winter steelhead 2025-26,2026-02-01,Unguided,99.83333333333333,99.83333333333333,1
Drano Lake salmon and steelhead 2023,2023-07-01,Guided,29.25,250.98333333333332,0.11654160302808952
Drano Lake salmon and steelhead 2023,2023-07-01,Unguided,221.73333333333332,250.98333333333332,0.8834583969719105
Drano Lake salmon and steelhead 2023,2023-08-01,Guided,682.6833333333333,4897.616666666667,0.1393909282406068
Drano Lake salmon and steelhead 2023,2023-08-01,Unguided,4214.933333333333,4897.616666666667,0.8606090717593932
Drano Lake salmon and steelhead 2023,2023-09-01,Guided,1418.2333333333333,5882.416666666667,0.24109705478190652
Drano Lake salmon and steelhead 2023,2023-09-01,Unguided,4464.183333333333,5882.416666666667,0.7589029452180934
Drano Lake salmon and steelhead 2023,2023-10-01,Guided,822.6,2345.616666666667,0.35069668956990696
Drano Lake salmon and steelhead 2023,2023-10-01,Unguided,1523.0166666666667,2345.616666666667,0.6493033104300929
Drano Lake salmon and steelhead 2024,2024-07-01,Guided,97.8,509.98333333333335,0.19177097290761136
Drano Lake salmon and steelhead 2024,2024-07-01,Unguided,412.18333333333334,509.98333333333335,0.8082290270923886
Drano Lake salmon and steelhead 2024,2024-08-01,Guided,225.31666666666666,2940.1833333333334,0.07663354325977405
Drano Lake salmon and steelhead 2024,2024-08-01,Unguided,2714.866666666667,2940.1833333333334,0.923366456740226
Drano Lake salmon and steelhead 2024,2024-09-01,Guided,2331.15,7371.25,0.31624894013905375
Drano Lake salmon and steelhead 2024,2024-09-01,Unguided,5040.1,7371.25,0.6837510598609463
Drano Lake salmon and steelhead 2024,2024-10-01,Guided,560.0666666666667,2673.2,0.20951169634395733
Drano Lake salmon and steelhead 2024,2024-10-01,Unguided,2113.133333333333,2673.2,0.7904883036560427
